name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Castelgiocondo Brunello Di Montalcino,650432,Red Wine,Marchesi De' Frescobaldi,750 mL bottle,44.95,49.95,5.0,2013-06-23,VINTAGES,XD - Extra Dry,"Tuscany, Italy",false,"Thanks to the Montalcino region's long growing season, its Brunellos are luxurious and age-worthy, like this one with flavours of blackberry, raspberry and earth. Decant for two hours and serve with rare steaks or roast leg of lamb, or cellar for up to 10 years.",http://lcbo.com/assets/products/234x234/0650432.jpg,http://lcbo.com/assets/products/720x720/0650432.jpg,Sangiovese,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Stags' Leap Winery Cabernet Sauvignon,996405,Red Wine,Treasury Wine Estates,750 mL bottle,44.95,49.95,5.0,2013-06-23,VINTAGES,XD - Extra Dry,"California, USA",false,"Stags' Leap Winery is more than a deer crossing. Layered and complex, this wine features aromas and flavours of cassis, black cherry, cinnamon and woodsmoke. This pleasurable powerhouse is cellarable for up to 5 years, but it can also give a dinner featuring rare steaks, roast beef or lamb an extra bounce.",http://lcbo.com/assets/products/234x234/0996405.jpg,http://lcbo.com/assets/products/720x720/0996405.jpg,Cabernet Sauvignon,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Woodbridge by Robert Mondavi Sauvignon Blanc,258665,White Wine,Robert Mondavi Winery,1500 mL bottle,17.95,20.95,3.0,2013-06-23,LCBO,XD - Extra Dry,USA,false,,http://lcbo.com/assets/products/234x234/0258665.jpg,http://lcbo.com/assets/products/720x720/0258665.jpg,Sauvignon Blanc,Light & Crisp
,,,,,,,,,,,,,,,,,
Sterling Merlot,330241,Red Wine,Diageo Canada Inc.,750 mL bottle,24.95,27.95,3.0,2013-06-23,VINTAGES,XD - Extra Dry,"California, USA",false,"A champion of Napa Merlot, Sterling launched California's first-ever vintage dated bottle in 1969. Now legendary, this silky, succulent wine is bursting with blackberry and cherry flavours. Serve this beauty up with beef empanadas, roast chicken or veal cutlets.",http://lcbo.com/assets/products/234x234/0330241.jpg,http://lcbo.com/assets/products/720x720/0330241.jpg,Merlot,Full-bodied & Smooth
Penfolds Thomas Hyland Shiraz,611210,Red Wine,Penfolds Wines Pty. Ltd.,750 mL bottle,18.95,21.95,3.0,2013-06-23,VINTAGES,XD - Extra Dry,"South Australia, Australia",false,"Penfolds is a cornerstone of the Australian wine scene. They've packed this bold beauty with ripe black cherries, plum, chocolate, and hints of smoke and oak. Pair with stuffed veal tenderloin, roasted vegetables, or grilled portobello mushrooms.",http://lcbo.com/assets/products/234x234/0611210.jpg,http://lcbo.com/assets/products/720x720/0611210.jpg,Shiraz/Syrah,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
